Player;P;Age;Salary;GP;G;GA;PlusMin;NHL
Andrei Zyuzin;D;29;1,48;32;2;3;-11;5
Andrej Meszaros;D;22;0,98;82;9;27;5;36
Andrej Sekera;D;21;0,3;37;2;6;5;8
Andrew Alberts;D;26;1,1;35;0;2;4;2
Andrew Brunette;LW;34;1,6;82;19;40;5;59
Andrew Cogliano;C;20;1,13;82;18;27;1;45
Andrew Ebbett;C;24;0,03;3;0;0;3;0
Andrew Ference;D;28;1,24;59;1;14;-14;15
Andrew Ladd;LW;22;1,78;63;14;16;13;30
Andrew Murray;C;26;0,26;39;6;4;-1;10
Andrew Peters;LW;27;0,5;44;1;1;-4;2
Andrew Raycroft;G;27;2;19;0;0;0;0
Andy Greene;D;25;0,6;59;2;8;0;10
Andy Hilbert;C;26;0,65;70;8;8;2;16
Andy McDonald;C;30;3,33;82;18;34;-21;52
Andy Sutton;D;32;2,5;58;1;7;-6;8
Andy Wozniewski;D;27;0,34;48;2;7;5;9
Antero Niittymaki;G;27;1,07;28;0;0;0;0
Anthony Stewart;RW;22;0,18;26;0;1;-1;1
Antoine Vermette;C;25;1,07;81;24;29;3;53
Anton Stralman;D;21;0,5;50;3;6;-10;9
Anton Volchenkov;D;25;2,1;67;1;14;14;15
Antti Miettinen;LW;27;0,88;69;15;19;4;34
Antti Pihlstrom;LW;23;0,01;1;0;0;-1;0
Anze Kopitar;C;20;0,96;82;32;45;-15;77
Arron Asham;RW;29;0,7;77;6;4;-6;10
B.J. Crombeen;RW;22;0,07;8;0;2;1;2
Barret Jackman;D;26;2,2;78;2;14;-12;16
Barry Tallackson;RW;24;0,03;3;0;0;0;0
Ben Eager;LW;23;0,55;32;0;2;-9;2
Ben Guite;C;29;0,48;79;11;11;1;22
Ben Ondrus;RW;25;0,02;3;0;0;-1;0
Ben Walter;C;23;0,05;8;1;0;-1;1
Benoit Pouliot;LW;21;0,26;11;2;1;-1;3
Bill Guerin;RW;37;4,5;81;23;21;-15;44
Bill Thomas;C;24;0,08;7;0;0;-2;0
Blair Betts;C;27;0,62;75;2;5;-4;7
Blair Jones;C;21;0,02;4;0;0;0;0
