Player;P;Age;Salary;GP;G;GA;PlusMin;NHL
Kyle Okposo;RW;19;0,17;9;2;3;3;5
Kyle Quincey;D;22;0,1;6;0;0;-3;0
Kyle Turris;C;18;0,09;3;0;1;-5;1
Kyle Wanvig;RW;26;0,06;7;1;0;-1;1
Kyle Wellwood;C;24;0,95;59;8;13;-12;21
Ladislav Nagy;LW;28;3,75;38;9;17;-2;26
Ladislav Smid;D;21;0,62;65;0;4;-15;4
Lasse Kukkonen;D;26;0,85;53;1;4;3;5
Lauri Tukonen;RW;21;0,02;1;0;0;0;0
Lawrence Nycholat;D;28;0,02;3;0;0;1;0
Lee Stempniak;RW;24;1,5;80;13;25;0;38
Liam Reddox;LW;21;0,02;1;0;0;-1;0
Loui Eriksson;LW;22;0,7;69;14;17;5;31
Lubomir Visnovsky;D;31;2,05;82;8;33;-18;41
Luc Bourdon;D;20;0,58;27;2;0;7;2
Lukas Kaspar;LW;22;0,06;3;0;0;-2;0
Lukas Krajicek;D;24;1,1;39;2;9;-3;11
Luke Richardson;D;38;0,5;76;2;7;1;9
Magnus Johansson;D;34;0,7;45;0;14;-5;14
Manny Fernandez;G;33;4,5;4;0;0;0;0
Manny Legace;G;34;1,8;66;0;2;0;2
Manny Malhotra;C;27;1,2;71;11;18;-2;29
Marc-Andre Bergeron;D;27;1,2;55;9;10;-16;19
Marc-Andre Fleury;G;23;1,6;35;0;1;0;1
Marc-Andre Gragnani;D;20;0,02;2;0;0;-2;0
Marc-Edouard Vlasic;D;20;1,08;82;2;12;-12;14
Marc Denis;G;30;1,38;10;0;0;0;0
Marc Methot;D;22;0,13;9;0;0;-1;0
Marc Pouliot;C;22;0,32;24;1;6;-1;7
Marc Savard;C;30;5;74;15;63;3;78
Marc Staal;D;20;0,85;80;2;8;2;10
Marcel Goc;C;24;0,8;51;5;3;-15;8
Marcel Hossa;LW;26;0,78;50;1;7;2;8
Marco Sturm;LW;29;3,5;80;27;29;11;56
Marcus Nilson;C;29;1;47;3;2;2;5
Marek Malik;D;32;2,5;42;2;8;7;10
Marek Schwarz;G;21;0,1;2;0;0;0;0
Marek Svatos;RW;25;1,2;62;26;11;13;37
Marek Zidlicky;D;30;3,2;79;5;38;-5;43
Marian Gaborik;RW;25;6,5;77;42;41;17;83
Marian Hossa;RW;28;7;72;29;37;-14;66
Mark Bell;LW;27;2;35;4;6;-2;10
Mark Eaton;D;30;1,6;36;0;3;6;3
Mark Fistric;D;21;0,44;37;0;2;3;2
Mark Hartigan;C;30;0,17;23;3;1;-2;4
Mark Mowers;RW;33;0,14;17;1;0;0;1
Mark Parrish;RW;30;2,65;66;16;14;2;30
Mark Popovic;D;25;0,54;33;0;2;-4;2
Mark Recchi;RW;39;1,75;72;14;34;-18;48
Mark Smith;C;30;0,49;54;1;3;-6;4
Mark Streit;D;30;0,6;81;13;49;-6;62
Mark Stuart;D;23;1,58;82;4;4;2;8
Markus Naslund;LW;34;6;82;25;30;-7;55
Martin Biron;G;30;3,5;62;0;1;0;1
Martin Brodeur;G;35;5,2;77;0;4;0;4
Martin Erat;LW;26;1,75;76;23;34;-3;57
Martin Gelinas;LW;37;1,25;57;9;11;5;20
Martin Gerber;G;33;3,7;57;0;2;0;2
Martin Hanzal;LW;20;0,98;72;8;27;-7;35
Martin Havlat;LW;26;6;35;10;17;4;27
Martin Lapointe;RW;34;2,4;70;6;7;-5;13
Martin Lojek;D;22;0,02;2;0;0;-1;0
Martin Rucinsky;LW;36;3;40;5;11;-9;16
Martin Skoula;D;28;1,7;80;3;8;-16;11
Martin St. Louis;RW;32;6;82;25;58;-23;83
Martin St. Pierre;C;24;0,04;5;0;0;-3;0
Martin Straka;C;35;3,3;65;14;27;5;41
Marty Reasoner;C;30;0,95;82;11;14;-17;25
Marty Turco;G;32;5,7;62;0;3;0;3
Mason Raymond;LW;22;0,66;49;9;12;1;21
Mathias Tjarnqvist;LW;28;0,48;78;4;7;-1;11
Mathieu Dandenault;D;31;1,75;61;9;5;-11;14
Mathieu Darche;LW;31;0,46;73;7;15;-14;22
Mathieu Garon;G;29;1,2;47;0;0;0;0
Mathieu Roy;D;24;0,33;13;0;1;0;1
Mathieu Schneider;D;38;5,5;65;12;27;22;39
Mats Sundin;C;36;5,5;74;32;46;17;78
Matt Bradley;RW;29;0,7;77;7;11;1;18
Matt Carle;D;23;1,37;62;2;13;-8;15
Matt Cooke;LW;29;1,52;78;10;13;1;23
Matt Cullen;C;31;2,8;59;13;36;2;49
Matt D'Agostini;RW;21;0;1;0;0;0;0
Matt Ellis;C;26;0,48;54;3;5;3;8
Matt Foy;RW;24;0,51;28;4;4;-1;8
Matt Greene;D;24;1,05;46;0;1;-3;1
Matt Hunwick;D;22;0,17;13;0;1;-1;1
Matt Jones;D;24;0,52;45;0;2;-13;2
Matt Keetley;G;21;0,1;1;0;0;0;0
Matt Keith;RW;24;0,01;3;0;0;-1;0
Matt Lashoff;D;21;0,19;18;1;4;-2;5
Matt Moulson;LW;24;0,12;22;5;4;2;9
Matt Murley;C;28;0,03;3;0;1;1;1
Matt Niskanen;D;21;0,85;78;7;19;22;26
Matt Pettinger;LW;27;1;76;6;7;-11;13
Matt Smaby;D;23;0,24;14;0;0;-6;0
Matt Stajan;C;24;0,95;82;16;17;-11;33
Matt Walker;D;27;0,6;43;1;1;-3;2
Matthew Lombardi;C;25;1,55;82;14;22;-6;36
Matthew Spiller;D;24;0,02;9;0;1;-2;1
Mattias Norstrom;D;35;4,25;66;2;11;3;13
Mattias Ohlund;D;31;3,38;53;9;15;-1;24
Mattias Ritola;C;20;0;2;0;1;0;1
Max Talbot;C;23;0,65;63;12;14;8;26
Maxim Afinogenov;RW;28;3,5;56;10;18;-16;28
Maxim Kondratiev;D;24;0,1;4;0;0;-2;0
Maxim Lapierre;C;22;0,39;53;7;11;5;18
Micki DuPont;D;27;0,02;2;0;0;1;0
Michael Leighton;G;26;0,05;3;0;0;0;0
Michael Nylander;C;35;5,5;40;11;26;-19;37
Michael Peca;C;33;1,92;65;8;26;-1;34
Michael Ryan;C;27;0,48;46;4;4;-4;8
Michael Ryder;RW;27;2,95;70;14;17;-4;31
Michal Handzus;C;30;4;82;7;14;-21;21
Michal Rozsival;D;29;2,3;80;13;25;0;38
Michel Ouellet;LW;25;1,2;64;17;19;11;36
Miikka Kiprusoff;G;31;3,6;76;0;2;0;2
Mikael Samuelsson;RW;31;1,2;73;11;29;21;40
Mikael Tellqvist;G;28;0,8;22;0;1;0;1
Mike Blunden;RW;21;0,02;1;0;0;-1;0
Mike Brown;RW;22;0,17;19;1;0;-2;1
Mike Cammalleri;C;25;3,1;63;19;28;-16;47
Mike Commodore;D;28;1,3;67;3;11;-7;14
Mike Comrie;C;27;3,38;76;21;28;-21;49
Mike Fisher;C;27;1,5;79;23;24;-10;47
Mike Funk;D;21;0,03;4;0;0;-3;0
Mike Glumac;RW;27;0,02;4;0;0;-1;0
Mike Green;D;22;0,85;82;18;38;6;56
Mike Grier;RW;32;1,77;78;9;13;-8;22
Mike Iggulden;C;25;0;1;0;0;-1;0
Mike Johnson;RW;33;0,75;21;2;3;-4;5
Mike Knuble;RW;35;2,8;82;29;26;-3;55
Mike Komisarek;D;25;1,5;75;4;13;9;17
Mike Lundin;D;23;0,64;81;0;6;3;6
Mike Modano;C;37;4,25;82;21;36;-11;57
Mike Mottau;D;29;0,48;76;4;13;-11;17
Mike Ribeiro;C;27;2,8;76;27;56;21;83
Mike Richards;C;22;0,94;73;28;47;14;75
Mike Rupp;RW;27;0,5;64;3;6;-8;9
Mike Sillinger;C;36;2,2;52;14;12;-10;26
Mike Smith;G;25;0,95;34;0;1;0;1
Mike Van Ryn;D;28;3,2;20;0;2;-2;2
Mike Weaver;D;29;0,6;55;0;1;1;1
Mike Weber;D;20;0,13;16;0;3;12;3
Mike York;LW;29;1;63;6;8;-8;14
Mike Zigomanis;C;26;0,44;33;2;1;-7;3
Mikhail Grabovski;C;23;0,4;24;3;6;-4;9
Mikko Koivu;C;24;2,7;57;11;31;13;42
Milan Hejduk;RW;31;4;77;29;25;8;54
Milan Jurcina;D;24;0,85;75;1;8;4;9
Milan Lucic;LW;19;0,85;77;8;19;-2;27
Milan Michalek;LW;23;0,94;79;24;31;19;55
Miroslav Satan;RW;33;4,5;80;16;25;-11;41
Nate Guenin;D;25;0,05;2;0;0;2;0
Nathan Horton;C;22;3;82;27;35;15;62
Nathan McIver;D;22;0,15;17;0;0;-8;0
Nathan Paetsch;D;24;0,7;59;2;7;3;9
Nathan Smith;C;25;0,08;13;0;0;0;0
Nick Boynton;D;28;2,9;79;3;9;-9;12
Nick Foligno;LW;20;0,56;45;6;3;0;9
Nick Schultz;D;25;1,85;81;2;13;9;15
Nick Tarnasky;C;23;0,5;80;6;4;-15;10
Nicklas Backstrom;C;20;2,4;82;14;55;13;69
Nicklas Bergfors;RW;20;0,06;1;0;0;-1;0
Nicklas Lidstrom;D;37;7,6;76;10;60;40;70
Niclas Havelid;D;34;2,7;81;1;13;2;14
Niclas Wallin;D;32;1,73;66;2;6;-18;8
Nigel Dawes;LW;22;0,36;61;14;15;11;29
Nik Antropov;C;27;1,87;72;26;30;10;56
Niklas Backstrom;G;29;3,1;58;0;0;0;0
Niklas Grossman;D;22;0,51;62;0;7;10;7
Niklas Hagman;LW;28;0,68;82;27;14;4;41
Niklas Hjalmarsson;D;20;0,13;13;0;1;-2;1
Niklas Kronwall;D;26;1,5;65;7;28;25;35
Niko Kapanen;C;29;0,9;79;10;18;-1;28
Nikolai Khabibulin;G;34;6,75;50;0;2;0;2
Nikolai Zherdev;LW;23;2,5;82;26;35;-9;61
Noah Clarke;LW;28;0,01;1;1;0;0;1
Noah Welch;D;25;0,55;4;0;0;1;0
Nolan Pratt;D;32;0,46;55;1;6;1;7
Olaf Kolzig;G;37;5,45;54;0;2;0;2
Ole-Kristian Tollefsen;D;23;0,6;51;2;2;-3;4
Olli Jokinen;C;29;5,25;82;34;37;-19;71
Olli Malmivaara;D;25;0,01;2;0;0;2;0
Ondrej Pavelec;G;20;0,33;7;0;0;0;0
Owen Nolan;RW;35;1,75;77;16;16;6;32
P.J. Axelsson;LW;32;1,85;75;13;16;11;29
Pascal Dupuis;LW;28;0,88;78;12;15;0;27
Pascal Leclaire;G;25;1,4;54;0;2;0;2
Pascal Pelletier;C;24;0,04;6;0;0;-2;0
Pat Rissmiller;LW;29;0,6;79;8;9;-8;17
Patrice Bergeron;C;22;5;10;3;4;2;7
Patrice Brisebois;D;36;1,4;43;3;8;-2;11
Patrick Eaves;RW;23;0,94;37;5;10;-2;15
Patrick Kaleta;RW;21;0,22;40;3;2;1;5
Patrick Kane;RW;19;3,73;82;21;51;-5;72
Patrick Lalime;G;33;0,95;32;0;0;0;0
Patrick Marleau;LW;28;4,5;78;19;29;-19;48
Patrick O'Sullivan;LW;22;0,85;82;22;31;-8;53
Patrick Sharp;C;26;0,82;80;36;26;23;62
Patrick Thoresen;LW;24;0,39;38;2;6;-10;8
Patrik Elias;C;31;7,5;74;20;35;10;55
Paul Gaustad;C;25;0,75;82;10;26;-4;36
Paul Kariya;LW;33;6;82;16;49;-10;65
Paul Mara;D;28;3;61;1;16;1;17
Paul Martin;D;26;3;73;5;27;20;32
Paul Ranger;D;23;0,75;72;10;21;-13;31
Paul Stastny;C;22;0,85;66;24;47;22;71
Pavel Datsyuk;C;29;6,7;82;31;66;41;97
Pavel Kubina;D;30;5;72;11;29;5;40
Pavol Demitra;C;33;4,5;68;15;39;9;54
Pekka Rinne;G;25;0,04;1;0;0;0;0
Peter Budaj;G;25;0,7;35;0;1;0;1
Peter Forsberg;C;34;1,12;9;1;13;7;14
Peter Harrold;D;24;0,16;25;2;3;3;5
Peter Mueller;C;19;1,7;81;22;32;-13;54
Peter Schaefer;LW;30;2,1;63;9;17;4;26
Peter Vandermeer;LW;32;0,02;2;0;0;0;0
Petr Prucha;RW;25;1,6;62;7;10;3;17
Petr Sykora;RW;31;2,5;81;28;35;1;63
Petri Kontiola;C;23;0,11;12;0;5;5;5
Petteri Nokelainen;C;21;0,87;57;7;3;0;10
Petteri Nummelin;D;35;1,2;27;2;7;-2;9
Petteri Wirtanen;C;21;0,03;3;1;0;1;1
Phil Kessel;RW;20;2,2;82;19;18;-6;37
Philippe Boucher;D;34;2,5;38;2;12;3;14
Pierre-Marc Bouchard;C;23;2,6;81;13;50;11;63
Quintin Laing;LW;28;0,33;39;1;5;4;6
R.J. Umberger;C;25;1,25;74;13;37;0;50
Radek Bonk;C;31;1,35;79;14;15;-31;29
Radek Dvorak;RW;30;1,5;67;8;9;-1;17
Radek Martinek;D;31;0,7;69;0;15;-9;15
Radim Vrbata;RW;26;1,23;76;27;29;6;56
Raffi Torres;LW;26;1,6;32;5;6;-4;11
Raitis Ivanans;LW;28;0,48;73;6;2;-10;8
Randy Jones;D;26;0,51;71;5;26;8;31
Randy Robitaille;C;32;0,58;68;10;19;4;29
Ray Emery;G;25;2,75;31;0;0;0;0
Ray Whitney;LW;35;3,55;66;25;36;-6;61
Rene Bourque;LW;26;0,9;62;10;14;6;24
Rhett Warrener;D;31;2,5;31;1;3;-2;4
Rick DiPietro;G;26;4,5;63;0;6;0;6
Rick Nash;RW;23;5,5;80;38;31;3;69
Rick Rypien;C;23;0,24;22;1;2;-5;3
Rich Peverley;C;25;0,18;33;5;5;4;10
Richard Park;RW;31;0,48;82;12;20;-4;32
Richard Zednik;LW;31;1,5;54;15;11;-5;26
Riley Cote;LW;25;0,48;70;1;3;2;4
Rob Blake;D;38;6;71;9;22;-19;31
Rob Davison;D;27;0,52;34;1;1;-6;2
Rob Globke;RW;25;0,07;9;0;0;-3;0
Rob Niedermayer;C;33;2;78;8;8;1;16
Rob Scuderi;D;29;0,7;71;0;5;3;5
Rob Schremp;C;21;0,02;2;0;0;-1;0
Robbie Earl;LW;22;0,07;9;0;1;-2;1
Robert Lang;C;37;4;76;21;33;9;54
Robert Nilsson;RW;22;0,92;71;10;31;8;41
Roberto Luongo;G;28;6,5;73;0;3;0;3
Robyn Regehr;D;27;2,28;82;5;15;11;20
Rod Brind'Amour;C;37;4;59;19;32;0;51
Rod Pelley;C;23;0,46;58;2;4;-3;6
Roman Hamrlik;D;33;5,5;77;5;21;7;26
Roman Polak;D;21;0,06;6;0;1;1;1
Ron Hainsey;D;26;0,9;78;8;24;-7;32
Rory Fitzpatrick;D;32;0,41;19;0;1;-12;1
Rostislav Klesla;D;25;1,45;82;6;12;7;18
Rostislav Olesz;C;22;0,98;56;14;12;3;26
Ruslan Fedotenko;LW;28;2,9;67;16;17;-9;33
Ruslan Salei;D;33;3,02;82;6;24;-4;30
Ryan Bayda;LW;27;0,2;31;3;3;-2;6
Ryan Caldwell;D;26;0,01;2;0;0;0;0
Ryan Callahan;RW;22;0,5;52;8;5;7;13
Ryan Carter;C;24;0,57;34;4;4;-2;8
Ryan Craig;LW;25;0,85;7;1;1;-1;2
Ryan Getzlaf;C;22;0,74;77;24;58;32;82
Ryan Hollweg;LW;24;0,5;70;2;2;-12;4
Ryan Johnson;C;31;0,8;79;5;13;-2;18
Ryan Kesler;C;23;1,75;80;21;16;1;37
Ryan Malone;LW;28;1,45;77;27;24;14;51
Ryan Miller;G;27;2,5;76;0;1;0;1
Ryan O'Byrne;D;23;0,4;33;1;6;7;7
Ryan Parent;D;20;0,25;22;0;0;-4;0
Ryan Potulny;C;23;0,04;7;0;1;0;1
Ryan Shannon;RW;24;0,19;27;5;8;-1;13
Ryan Smyth;LW;31;7,5;55;14;23;-4;37
Ryan Stone;C;22;0,14;6;0;1;-1;1
Ryan Suter;D;22;0,94;76;7;24;3;31
Ryan Whitney;D;24;2,5;76;12;28;-2;40
Ryane Clowe;LW;25;0,6;15;3;5;-1;8
Saku Koivu;C;33;4,75;77;16;40;-4;56
Sam Gagner;C;18;1,62;79;13;36;-21;49
Sami Kapanen;RW;34;1,25;74;5;3;-12;8
Sami Lepisto;D;23;0,08;7;0;1;-1;1
Sami Salo;D;33;3;63;8;17;8;25
Samuel Pahlsson;C;30;1,4;56;6;9;-2;15
Sandis Ozolinsh;D;35;0,52;39;3;13;-11;16
Scott Clemmensen;G;30;0,04;3;0;0;0;0
Scott Gomez;C;28;10;81;16;54;3;70
Scott Hannan;D;28;4,5;82;2;19;-5;21
Scott Hartnell;RW;25;5,09;80;24;19;2;43
Scott Nichol;C;33;0,71;73;10;8;12;18
Scott Niedermayer;D;34;4,12;48;8;17;-2;25
Scott Parker;RW;29;0,48;25;0;0;0;0
Scott Thornton;LW;36;1,5;47;5;3;1;8
Scott Walker;RW;34;2,47;58;14;18;-3;32
Scottie Upshall;LW;24;1,2;61;14;16;2;30
Sean Avery;LW;27;1,9;57;15;18;6;33
Sean Bergenheim;LW;23;0,5;78;10;12;-3;22
Sean Hill;D;37;0,99;35;2;7;-16;9
Sean O'Donnell;D;36;1,25;82;2;7;9;9
Sergei Brylin;C;33;1,52;82;6;10;-5;16
Sergei Fedorov;C;38;6,08;68;11;30;-5;41
Sergei Gonchar;D;33;5,5;78;12;53;13;65
Sergei Kostitsyn;RW;20;0,51;52;9;18;9;27
Sergei Samsonov;LW;29;3,52;61;14;22;-1;36
Sergei Zubov;D;37;4;46;4;31;6;35
Shane Doan;RW;31;4,55;80;28;50;4;78
Shane Hnidy;D;32;0,76;76;2;6;-2;8
Shane O'Brien;D;24;0,88;77;4;17;-2;21
Shaone Morrisonn;D;25;0,9;76;1;9;4;10
Shawn Bates;C;32;1,2;2;0;0;-2;0
Shawn Horcoff;C;29;3,6;53;21;29;1;50
Shawn Matthias;C;19;0,03;4;2;0;-2;2
Shawn Thornton;LW;30;0,5;58;4;3;-1;7
Shea Weber;D;22;0,48;54;6;14;-6;20
Shean Donovan;RW;32;0,92;82;5;7;-3;12
Sheldon Brookbank;D;27;0,5;44;0;8;0;8
Sheldon Souray;D;31;6,25;26;3;7;-7;10
Sidney Crosby;C;20;3,7;53;24;48;18;72
Simon Gagne;LW;27;5,25;25;7;11;-8;18
Simon Gamache;C;26;0,07;11;2;2;-1;4
Slava Kozlov;LW;35;3,3;82;17;24;-10;41
Staffan Kronwall;D;24;0,11;18;0;0;-2;0
Stefan Meyer;LW;22;0,04;4;0;0;-1;0
Stefan Ruzicka;RW;22;0,1;14;1;3;5;4
Stephane Robidas;D;30;1,5;82;9;17;0;26
Stephane Veilleux;LW;26;0,6;77;11;7;-13;18
Stephane Yelle;C;33;1,25;74;3;9;-4;12
Stephen Wagner;G;30;NA;2;0;1;0;1
Stephen Weiss;C;24;1,8;74;13;29;14;42
Steve Begin;LW;29;1,23;44;3;5;0;8
Steve Bernier;RW;22;1,18;76;16;16;-1;32
Steve Downie;RW;20;0,45;32;6;6;2;12
Steve Eminger;D;24;1;20;0;2;-4;2
Steve Kelly;C;31;0,08;2;0;0;0;0
Steve McCarthy;D;26;0,72;55;1;6;-23;7
Steve Montador;D;28;0,8;73;8;15;1;23
Steve Ott;LW;25;0,8;73;11;11;2;22
Steve Regier;LW;23;0,02;8;0;0;-1;0
Steve Reinprecht;C;31;2;81;16;30;-3;46
Steve Staios;D;34;2,9;82;7;9;-14;16
Steve Valiquette;G;30;0,64;13;0;0;0;0
Steve Wagner;D;23;0,37;24;2;6;-4;8
Stu Barnes;C;37;0,9;79;12;11;-3;23
T.J. Hensick;C;22;0,32;31;6;5;-4;11
Tanner Glass;LW;24;0,51;41;1;1;-5;2
Taylor Pyatt;LW;26;1,57;79;16;21;9;37
Ted Purcell;LW;22;0,15;10;1;2;2;3
Teemu Selanne;RW;37;1,07;26;12;11;5;23
Teppo Numminen;D;39;0,08;1;0;0;0;0
Theo Peckham;D;20;0,01;1;0;0;0;0
Thomas Greiss;G;21;0,17;3;0;0;0;0
Thomas Pock;D;26;0,08;1;0;0;-2;0
Thomas Vanek;LW;23;10;82;36;28;-5;64
Tim Brent;C;23;0,01;1;0;0;-1;0
Tim Conboy;D;25;0,16;19;0;5;1;5
Tim Connolly;C;26;3;48;7;33;4;40
Tim Gleason;D;24;1,18;80;3;16;5;19
Tim Jackman;RW;26;0,18;36;1;3;-3;4
Tim Ramholt;D;23;0,01;1;0;0;-1;0
Tim Thomas;G;33;1;57;0;0;0;0
Tobias Stephan;G;23;0,04;1;0;0;0;0
Toby Enstrom;D;23;0,9;82;5;33;-5;38
Toby Petersen;C;29;0,09;8;0;3;0;3
Todd Bertuzzi;RW;32;4;68;14;26;8;40
Todd Fedoruk;LW;28;0,88;69;6;7;2;13
Todd Marchant;C;34;2,47;75;9;7;-3;16
Todd White;C;32;2,1;74;14;23;-12;37
Tom Cavanagh;C;25;0,01;1;0;1;1;1
Tom Gilbert;D;24;0,91;82;13;20;-6;33
Tom Kostopoulos;RW;28;0,9;67;7;6;-3;13
Tom Poti;D;30;3,5;71;2;27;9;29
Tom Preissing;D;29;2,75;77;8;16;-6;24
Tom Sestito;LW;20;0;1;0;0;0;0
Tomas Fleischmann;LW;23;0,5;75;10;20;-7;30
Tomas Holmstrom;RW;34;2,25;59;20;20;9;40
Tomas Kaberle;D;29;4,25;82;8;45;-8;53
Tomas Kopecky;C;25;0,48;77;5;7;2;12
Tomas Plekanec;C;25;1,4;81;29;40;15;69
Tomas Plihal;C;24;0,35;22;2;1;4;3
Tomas Vokoun;G;31;5,3;69;0;6;0;6
Toni Lydman;D;30;2,9;82;4;22;1;26
Torrey Mitchell;C;22;0,72;82;10;10;-3;20
Travis Moen;LW;25;0,9;77;3;5;-10;8
Travis Zajac;C;22;0,98;82;14;20;-11;34
Trent Hunter;RW;27;1,55;82;12;29;-17;41
Trevor Daley;D;24;0,8;82;5;19;-1;24
Trevor Letowski;RW;30;0,8;75;9;9;-10;18
Trevor Linden;C;37;0,95;59;7;5;0;12
Troy Brouwer;RW;22;0,03;2;0;1;1;1
Tuomo Ruutu;C;24;2,25;77;10;22;4;32
Tuukka Rask;G;20;0,62;4;0;0;0;0
Ty Conklin;G;31;0,33;33;0;1;0;1
Tyler Arnason;C;28;1,6;70;10;21;-1;31
Tyler Kennedy;RW;21;0,45;55;10;9;2;19
Tyler Weiman;G;23;0,06;1;0;0;0;0
Vaclav Prospal;C;32;1,9;80;33;38;0;71
Valtteri Filppula;C;23;0,85;78;19;17;16;36
Vernon Fiddler;C;27;0,8;79;11;21;-4;32
Vesa Toskala;G;30;1,38;66;0;5;0;5
Viktor Kozlov;C;32;2,5;81;16;38;28;54
Ville Koistinen;D;25;0,48;48;4;13;13;17
Ville Peltonen;LW;34;1;56;5;15;-2;20
Vincent Lecavalier;C;27;7,17;81;40;52;-17;92
Vitali Vishnevsky;D;27;1,4;69;2;5;-12;7
Vladimir Sobotka;C;20;0,49;48;1;6;1;7
Wade Belak;F;31;0,62;47;1;0;-2;1
Wade Brookbank;F;30;0,27;32;1;1;4;2
Wade Dubielewicz;G;28;0,5;20;0;0;0;0
Wade Redden;D;30;6,5;80;6;32;11;38
Wayne Primeau;C;31;1,4;43;3;7;-3;10
Wes Walz;C;37;1,4;11;1;3;-5;4
Willie Mitchell;D;30;3,5;72;2;10;6;12
Wojtek Wolski;LW;21;0,86;77;18;30;10;48
Wyatt Smith;C;30;0,18;25;0;3;-4;3
Yan Stastny;C;25;0,14;12;1;1;0;2
Yanic Perreault;C;36;1,5;53;9;5;-1;14
Zack Fitzgerald;D;22;0,01;1;0;0;0;0
Zack Stortini;RW;22;0,51;66;3;9;3;12
Zach Parise;LW;23;2;81;32;33;13;65
Zbynek Michalek;D;25;1,2;75;4;13;9;17
Zdeno Chara;D;30;7,5;77;17;34;14;51
Zenon Konopka;C;27;0,06;3;0;0;-1;0
