"";"P";"Player";"Age";"Salary";"GP";"G";"GA";"PlusMin";"NHL"
"46";"C";"Andrew Cogliano";20;1,13;82;18;27;1;45
"47";"C";"Andrew Ebbett";24;0,03;3;0;0;3;0
"48";"D";"Andrew Ference";28;1,24;59;1;14;-14;15
"49";"LW";"Andrew Ladd";22;1,78;63;14;16;13;30
"50";"C";"Andrew Murray";26;0,26;39;6;4;-1;10
"51";"LW";"Andrew Peters";27;0,5;44;1;1;-4;2
"52";"G";"Andrew Raycroft";27;2;19;0;0;0;0
"53";"D";"Andy Greene";25;0,6;59;2;8;0;10
"54";"C";"Andy Hilbert";26;0,65;70;8;8;2;16
"55";"C";"Andy McDonald";30;3,33;82;18;34;-21;52
"56";"D";"Andy Sutton";32;2,5;58;1;7;-6;8
"57";"D";"Andy Wozniewski";27;0,34;48;2;7;5;9
"58";"G";"Antero Niittymaki";27;1,07;28;0;0;0;0
"59";"RW";"Anthony Stewart";22;0,18;26;0;1;-1;1
"60";"C";"Antoine Vermette";25;1,07;81;24;29;3;53
"61";"D";"Anton Stralman";21;0,5;50;3;6;-10;9
"62";"D";"Anton Volchenkov";25;2,1;67;1;14;14;15
"63";"LW";"Antti Miettinen";27;0,88;69;15;19;4;34
"64";"LW";"Antti Pihlstrom";23;0,01;1;0;0;-1;0
"65";"C";"Anze Kopitar";20;0,96;82;32;45;-15;77
"66";"RW";"Arron Asham";29;0,7;77;6;4;-6;10
"67";"RW";"B.J. Crombeen";22;0,07;8;0;2;1;2
"68";"D";"Barret Jackman";26;2,2;78;2;14;-12;16
"69";"RW";"Barry Tallackson";24;0,03;3;0;0;0;0
"70";"LW";"Ben Eager";23;0,55;32;0;2;-9;2
"71";"C";"Ben Guite";29;0,48;79;11;11;1;22
"72";"RW";"Ben Ondrus";25;0,02;3;0;0;-1;0
"73";"C";"Ben Walter";23;0,05;8;1;0;-1;1
"74";"LW";"Benoit Pouliot";21;0,26;11;2;1;-1;3
"75";"RW";"Bill Guerin";37;4,5;81;23;21;-15;44
"76";"C";"Bill Thomas";24;0,08;7;0;0;-2;0
"77";"C";"Blair Betts";27;0,62;75;2;5;-4;7
"78";"C";"Blair Jones";21;0,02;4;0;0;0;0
"79";"RW";"Blake Comeau";21;0,38;51;8;7;1;15
"80";"D";"Bobby Allen";29;0,5;19;0;0;-2;0
"81";"C";"Bobby Holik";37;4,25;82;15;19;-14;34
"82";"RW";"Bobby Ryan";20;0,61;23;5;5;-1;10
"83";"D";"Boris Valabik";21;0,1;7;0;0;-2;0
"84";"C";"Boyd Devereaux";29;0,55;62;7;11;-6;18
"85";"C";"Boyd Gordon";24;0,65;67;7;9;5;16
"86";"C";"Brad Boyes";25;1,6;82;43;22;1;65
"87";"LW";"Brad Isbister";30;0,52;55;6;5;-4;11
"88";"LW";"Brad Larsen";30;0,51;62;1;3;-17;4
"89";"D";"Brad Lukowich";31;1,25;59;1;6;-15;7
"90";"LW";"Brad May";36;0,6;61;3;1;2;4
"91";"C";"Brad Richards";27;7,8;74;20;42;-27;62
"92";"C";"Brad Richardson";22;0,3;22;2;3;-3;5
"93";"D";"Brad Stuart";28;3,5;72;6;17;-10;23
"94";"LW";"Brad Winchester";26;0,48;41;1;2;-9;3
"95";"LW";"Brady Murray";23;0,07;4;1;0;-2;1
"96";"RW";"Brandon Bochenski";25;0,6;40;3;10;6;13
"97";"C";"Brandon Dubinsky";21;0,64;82;14;26;8;40
"98";"LW";"Brandon Nolan";24;0,04;6;0;1;-2;1
"99";"D";"Branislav Mezei";27;0,85;57;2;2;-13;4
"100";"RW";"Branko Radivojevic";27;0,68;73;7;10;-14;17
"101";"D";"Braydon Coburn";22;0,94;78;9;27;17;36
"102";"D";"Brendan Bell";24;0,06;2;0;0;-2;0
"103";"C";"Brendan Morrison";32;3,2;39;9;16;-3;25
"104";"LW";"Brendan Shanahan";38;2,5;73;23;23;-2;46
"105";"D";"Brendan Witt";32;2,8;59;2;5;-8;7
"106";"LW";"Brenden Morrow";28;4,1;82;32;42;23;74
"107";"D";"Brent Burns";22;0,88;82;15;28;12;43
"108";"G";"Brent Johnson";30;0,8;19;0;0;0;0
"109";"D";"Brent Seabrook";22;0,94;82;9;23;13;32
"110";"D";"Brent Sopel";30;1,5;58;1;19;9;20
"111";"D";"Bret Hedican";37;2,43;66;2;15;17;17
"112";"D";"Brett Clark";31;1,5;57;5;16;5;21
"113";"D";"Brett Lebda";25;0,55;78;3;11;-1;14
"114";"C";"Brett McLean";29;1,7;67;14;23;-5;37
"115";"LW";"Brett Sterling";23;0,12;13;1;2;-2;3
"116";"G";"Brian Boucher";30;0,11;5;0;0;0;0
"117";"C";"Brian Boyle";23;0,07;8;4;1;4;5
"118";"D";"Brian Campbell";28;1,75;83;8;54;8;62
"119";"G";"Brian Elliott";22;0,06;1;0;0;0;0
"120";"RW";"Brian Gionta";28;4;82;22;31;1;53
"121";"D";"Brian Lee";20;0,09;6;0;1;1;1
"122";"RW";"Brian McGrattan";26;0,55;38;0;3;0;3
"123";"D";"Brian Pothier";30;2,5;38;5;9;5;14
"124";"D";"Brian Rafalski";34;6;73;13;42;27;55
"125";"LW";"Brian Rolston";34;2,43;81;31;28;-1;59
"126";"C";"Brian Sutherby";25;0,8;50;1;1;-4;2
"127";"RW";"Brian Willsie";29;0,9;53;4;8;-8;12
"128";"C";"Brooks Laich";24;0,72;82;21;16;-3;37
"129";"D";"Brooks Orpik";27;1,07;78;1;10;11;11
"130";"D";"Bruno Gervais";23;0,48;60;0;13;-5;13
"131";"D";"Bryan Allen";27;2,25;73;2;14;5;16
"132";"D";"Bryan Berard";30;0,7;54;5;17;-17;22
"133";"LW";"Bryan Bickell";21;0,03;4;0;0;-1;0
"134";"C";"Bryan Little";20;0,53;48;6;10;-2;16
"135";"D";"Bryan McCabe";32;7,15;54;5;18;-2;23
"136";"C";"Bryan Smolinski";36;2;64;8;17;-6;25
"137";"D";"Bryan Young";21;0,01;2;0;0;-1;0
"138";"D";"Bryce Salvador";31;1,5;64;1;10;12;11
"139";"C";"Byron Ritchie";30;0,68;71;3;8;-10;11
"140";"RW";"Cal Clutterbuck";20;0,04;2;0;0;0;0
"141";"D";"Cam Barker";21;1,6;45;6;12;-3;18
"142";"RW";"Cam Janssen";23;0,55;12;0;1;-1;1
"143";"G";"Cam Ward";23;2;69;0;1;0;1
"144";"G";"Carey Price";20;1,88;41;0;2;0;2
"145";"D";"Carlo Colaiacovo";24;1,05;28;2;4;-4;6
"146";"D";"Casey Borer";22;0,07;11;1;2;-3;3
"147";"LW";"Clarke MacArthur";22;0,32;37;8;7;3;15
"148";"C";"Claude Giroux";19;0,03;2;0;0;-2;0
"149";"D";"Clay Wilson";24;0,06;7;1;1;3;2
"150";"C";"Cody Bass";20;0,3;21;2;2;-1;4
"151";"RW";"Cody McCormick";24;0,38;40;2;2;5;4
"152";"LW";"Cody McLeod";23;0,28;49;4;5;-6;9
"153";"RW";"Colby Armstrong";25;1,2;72;13;22;4;35
"154";"C";"Colin Fraser";22;0,05;5;0;0;-2;0
"155";"LW";"Colin Stuart";25;0,1;18;3;2;2;5
"156";"D";"Colin White";30;3;57;2;8;-5;10
"157";"RW";"Colton Orr";25;0,52;74;1;1;-13;2
"158";"C";"Connor James";25;0,08;13;1;0;-2;1
"159";"G";"Corey Crawford";23;0,11;5;0;0;0;0
"160";"C";"Corey Locke";23;0,01;1;0;0;-1;0
"161";"RW";"Corey Perry";22;0,62;70;29;25;12;54
"162";"D";"Cory Murphy";29;0,78;47;2;15;0;17
"163";"D";"Cory Sarich";29;3,9;80;2;5;2;7
"164";"LW";"Cory Stillman";34;1,75;79;24;41;-15;65
"165";"RW";"Craig Adams";30;0,6;75;4;7;-16;11
"166";"G";"Craig Anderson";26;0,52;17;0;1;0;1
"167";"C";"Craig Conroy";36;2,85;79;12;22;6;34
"168";"C";"Craig MacDonald";30;0,47;65;2;9;-10;11
"169";"D";"Craig Rivet";33;3,5;74;5;30;3;35
"170";"RW";"Craig Weller";26;0,48;59;3;8;-7;11
"171";"G";"Cristobal Huet";32;2,75;52;0;2;0;2
"172";"C";"Curtis Brown";31;0,7;33;5;4;4;9
"173";"LW";"Curtis Glencross";25;0,52;62;15;10;8;25
"174";"G";"Curtis Joseph";40;0,65;9;0;0;0;0
"175";"G";"Curtis McElhinney";24;0,26;5;0;0;0;0
"176";"G";"Curtis Sanford";28;0,6;16;0;1;0;1
"177";"LW";"Chad Kilger";31;0,8;53;10;7;1;17
"178";"RW";"Chad LaRose";25;0,5;58;11;12;6;23
"179";"G";"Chris Beckford-Tseu";23;0,04;1;0;0;0;0
"180";"LW";"Chris Bourque";21;0,02;4;0;0;0;0
"181";"D";"Chris Campoli";23;0,6;46;4;14;-1;18
"182";"RW";"Chris Clark";31;1,1;18;5;4;0;9
"183";"RW";"Chris Conner";24;0,16;22;3;2;0;5
"184";"D";"Chris Chelios";45;1,15;69;3;9;11;12
"185";"C";"Chris Drury";31;7,1;82;25;33;-3;58
"186";"C";"Chris Gratton";32;1,5;60;10;11;-7;21
"187";"C";"Chris Higgins";24;1,5;82;27;25;0;52
"188";"C";"Chris Kelly";27;1,26;75;11;19;3;30
"189";"LW";"Chris Kunitz";28;1,15;82;21;29;8;50
"190";"G";"Chris Mason";31;1,25;51;0;1;0;1
"191";"C";"Chris Minard";26;0,13;15;1;1;-1;2
"192";"RW";"Chris Neil";28;1,1;68;6;14;-3;20
"193";"G";"Chris Osgood";35;0,8;43;0;3;0;3
"194";"D";"Chris Phillips";29;3,5;81;5;13;15;18
"195";"D";"Chris Pronger";33;5,51;72;12;31;-1;43
"196";"LW";"Chris Simon";35;0,49;38;1;2;-2;3
"197";"RW";"Chris Thorburn";24;0,48;73;5;13;-4;18
"198";"D";"Christian Backman";27;2,2;63;3;15;-2;18
"199";"D";"Christian Ehrhoff";25;0,9;77;1;21;9;22
"200";"D";"Christoph Schubert";25;0,85;82;8;16;7;24
"201";"RW";"Chuck Kobasew";25;1,2;73;22;17;6;39
"202";"LW";"D.J. King";23;0,5;61;3;3;-4;6
"203";"C";"Dainius Zubrus";29;3,4;82;13;25;2;38
"204";"LW";"Dallas Drake";38;0,55;65;3;3;-12;6
"205";"D";"Dan Boyle";31;3,62;37;4;21;-29;25
"206";"LW";"Dan Carcillo";22;0,64;57;13;11;1;24
"207";"G";"Dan Cloutier";31;1;9;0;0;0;0
"208";"G";"Dan Ellis";27;0,5;44;0;0;0;0
"209";"C";"Dan Fritsche";22;0,75;69;10;12;2;22
"210";"D";"Dan Girardi";23;0,75;82;10;18;0;28
"211";"D";"Dan Hamhuis";25;1,75;80;4;23;-4;27
"212";"RW";"Dan Hinote";30;1;58;5;5;-3;10
"213";"D";"Dan Jancevski";26;0,02;4;0;0;-1;0
"214";"G";"Dan LaCosta";21;0,04;1;0;0;0;0
"215";"G";"Dan Sabourin";27;0,5;24;0;0;0;0
"216";"G";"Dan Taylor";21;0,02;1;0;0;0;0
"217";"LW";"Dane Byers";21;0,01;1;0;0;-1;0
"218";"RW";"Daniel Alfredsson";35;4,69;70;40;49;15;89
"219";"C";"Daniel Briere";30;10;79;31;41;-22;72
"220";"LW";"Daniel Cleary";29;0,68;63;20;22;21;42
"221";"LW";"Daniel Paille";23;0,59;77;19;16;9;35
"222";"LW";"Daniel Sedin";27;3,58;82;29;45;6;74
"223";"LW";"Daniel Winnik";22;0,52;79;11;15;-3;26
"224";"D";"Danny Richmond";23;0,15;7;0;0;-5;0
"225";"RW";"Dany Heatley";26;5,5;71;41;41;33;82
"226";"LW";"Darcy Hordichuk";27;0,52;45;1;2;-1;3
"227";"LW";"Darcy Tucker";32;3;74;18;16;-8;34
"228";"RW";"Darren Haydar";28;0,16;16;1;7;4;8
"229";"C";"Darren Helm";20;0,09;7;0;0;-2;0
"230";"RW";"Darren McCarty";35;0,12;3;0;1;2;1
"231";"RW";"Darryl Bootland";26;0,07;4;0;1;0;1
"232";"C";"Darryl Boyce";23;0,21;1;0;0;0;0
"233";"D";"Darryl Sydor";35;2,5;74;1;12;1;13
"234";"C";"Dave Bolland";21;0,61;39;4;13;6;17
"235";"C";"Dave Steckel";25;0,52;67;5;7;1;12
"236";"G";"David Aebischer";29;0,07;1;0;0;0;0
"237";"RW";"David Backes";23;0,89;72;13;18;-11;31
"238";"LW";"David Booth";23;0,7;73;22;18;13;40
"239";"C";"David Brine";22;0,05;9;0;1;-1;1
"240";"RW";"David Clarkson";23;0,8;81;9;13;1;22
"241";"D";"David Hale";26;0,59;58;0;2;0;2
"242";"RW";"David Jones";23;0,17;27;2;4;-5;6
"243";"D";"David Koci";26;0,33;18;0;0;-4;0
"244";"C";"David Krejci";21;0,62;56;6;21;-3;27
"245";"C";"David Legwand";27;2,1;65;15;29;-4;44
"246";"RW";"David Moss";26;0,52;41;4;7;-4;11
"247";"C";"David Perron";19;0,92;62;13;14;16;27
"248";"D";"David Tanabe";27;0,59;18;1;2;2;3
"249";"RW";"David Vyborny";32;2,2;66;7;19;-8;26
"250";"C";"Daymond Langkow";31;2,44;80;30;35;16;65
"251";"LW";"Dean McAmmond";34;0,85;68;9;13;1;22
"252";"D";"Denis Grebeshkov";24;0,95;71;3;15;2;18
"253";"LW";"Denis Tolpeko";22;0,33;26;1;5;-4;6
"254";"D";"Dennis Seidenberg";26;0,85;47;0;15;6;15
"255";"D";"Dennis Wideman";24;0,6;81;13;23;11;36
"256";"C";"Derek Armstrong";34;1,4;77;8;27;4;35
"257";"LW";"Derek Boogaard";25;0,75;34;0;0;-5;0
"258";"C";"Derek MacKenzie";26;0,11;17;2;0;-2;2
"259";"D";"Derek Meech";23;0,45;32;0;3;-5;3
"260";"D";"Derek Morris";29;3,9;82;8;17;8;25
"261";"C";"Derek Roy";24;3;78;32;49;13;81
"262";"D";"Derian Hatcher";35;3,5;44;2;5;4;7
"263";"C";"Derick Brassard";20;0,31;17;1;1;-4;2
"264";"RW";"Devin Setoguchi";21;0,83;44;11;6;6;17
"265";"D";"Dick Tarnstrom";32;2;48;3;11;-11;14
"266";"D";"Dion Phaneuf";22;0,94;82;17;43;12;60
"267";"D";"Dmitri Kalinin";27;2,25;46;1;7;-7;8
"268";"G";"Dmitri Patzold";24;0,28;3;0;0;0;0
"269";"C";"Dominic Moore";27;0,7;68;5;12;-4;17
"270";"G";"Dominik Hasek";42;4,05;41;0;1;0;1
"271";"LW";"Donald Brashear";35;1,1;80;5;3;-7;8
"272";"D";"Doug Janik";27;0,48;61;1;3;-3;4
"273";"D";"Doug Murray";27;0,55;66;1;9;20;10
"274";"C";"Doug Weight";36;3,5;67;10;15;4;25
"275";"D";"Drew Fata";24;0,01;5;0;1;-1;1
"276";"C";"Drew Larman";22;0,03;6;0;1;1;1
"277";"G";"Drew MacIntyre";24;0,02;2;0;0;0;0
"278";"LW";"Drew Miller";23;0,34;26;2;3;-1;5
"279";"RW";"Drew Stafford";22;0,98;64;16;22;3;38
"280";"D";"Duncan Keith";24;1,4;82;12;20;30;32
"281";"C";"Dustin Boyd";21;0,54;48;7;5;-11;12
"282";"RW";"Dustin Brown";23;1,18;78;33;27;-13;60
"283";"D";"Dustin Byfuglien";22;0,54;67;19;17;-7;36
"284";"RW";"Dustin Penner";25;4,25;82;23;24;-12;47
"285";"D";"Duvie Westcott";30;0,93;23;1;3;-10;4
"286";"G";"Dwayne Roloson";38;3,5;43;0;1;0;1
"287";"D";"Ed Jovanovski";31;7;80;12;39;-13;51
"288";"RW";"Enver Lisin";21;0,18;13;4;1;-5;5
"289";"C";"Eric Belanger";30;1,75;75;13;24;-6;37
"290";"LW";"Eric Boulton";31;0,52;74;4;5;-10;9
"291";"D";"Eric Brewer";28;3,5;77;1;21;-18;22
"292";"RW";"Eric Fehr";22;0,76;23;1;5;4;6
"293";"RW";"Eric Godard";27;0,47;74;1;1;-8;2
"294";"LW";"Eric Nystrom";24;0,48;44;3;7;-5;10
"295";"C";"Eric Perrin";32;0,75;81;12;33;-5;45
"296";"C";"Eric Staal";23;4,5;82;38;44;-2;82
"297";"LW";"Erik Cole";29;4;73;22;29;5;51
"298";"C";"Erik Christensen";24;0,75;59;11;13;-10;24
"299";"G";"Erik Ersberg";25;0,18;14;0;0;0;0
"300";"D";"Erik Johnson";19;3,7;69;5;28;-9;33
"301";"LW";"Ethan Moreau";32;2,75;25;5;4;-4;9
"302";"C";"Evgeni Malkin";21;3,83;82;47;59;16;106
"303";"G";"Evgeni Nabokov";32;5;77;0;2;0;2
"304";"D";"Fedor Tyutin";24;1,02;82;5;15;5;20
"305";"RW";"Fernando Pisani";31;2,5;56;13;9;-5;22
"306";"D";"Filip Kuba";31;3;75;6;25;-8;31
"307";"D";"Francis Bouillon";32;1,88;74;2;6;9;8
"308";"D";"Francois Beauchemin";27;1,65;82;2;19;-9;21
"309";"C";"Frans Nielsen";23;0,2;16;2;1;1;3
"310";"D";"Frantisek Kaberle";34;2,2;80;0;22;-4;22
"311";"D";"Freddy Meyer";26;0,52;57;3;9;2;12
"312";"LW";"Fredrik Modin";33;2,75;23;6;6;1;12
"313";"G";"Fredrik Norrena";34;0,8;37;0;1;0;1
"314";"RW";"Fredrik Sjostrom";24;0,8;69;12;9;-2;21
"315";"C";"Gabe Gauthier";23;0,03;3;0;0;0;0
"316";"D";"Garnet Exelby";26;1,05;79;2;5;-21;7
"317";"D";"Garrett Stafford";27;0,01;2;0;0;0;0
"318";"C";"Garth Murray";25;0,58;7;0;0;0;0
"319";"LW";"Gary Roberts";41;2,5;38;3;12;-3;15
"320";"C";"Geoff Platt";22;0;5;0;0;2;0
"321";"LW";"Geoff Sanderson";35;1,5;41;3;10;-7;13
"322";"RW";"George Parros";28;0,52;69;1;4;3;5
"323";"RW";"Georges Laraque";31;1,25;71;4;9;0;13
"324";"C";"Gilbert Brule";21;1,06;61;1;8;-4;9
"325";"C";"Glen Metropolit";33;0,5;82;11;22;-3;33
"326";"RW";"Glen Murray";35;4,15;63;17;13;-4;30
"327";"D";"Glen Wesley";39;1,4;78;1;7;-3;8
"328";"LW";"Greg Campbell";24;0,52;81;5;13;-12;18
"329";"D";"Greg De Vries";34;2,25;77;4;11;7;15
"330";"C";"Greg Moore";23;0,09;6;0;0;-2;0
"331";"LW";"Greg Stewart";21;0,01;1;0;0;0;0
"332";"D";"Greg Zanon";27;0,7;78;0;5;-5;5
"333";"LW";"Guillaume Latendresse";20;0,85;73;16;11;-2;27
"334";"D";"Hal Gill";32;2,08;81;3;21;6;24
"335";"G";"Hannu Toivonen";23;0,48;23;0;0;0;0
"336";"G";"Henrik Lundqvist";25;4,25;72;0;0;0;0
"337";"C";"Henrik Sedin";27;3,58;82;15;61;6;76
"338";"D";"Henrik Tallinder";28;2,5;71;1;17;5;18
"339";"C";"Henrik Zetterberg";27;2,7;75;43;49;30;92
"340";"C";"Ian Laperriere";33;1,06;70;4;15;-5;19
"341";"D";"Ian White";23;0,75;81;5;16;-9;21
"342";"G";"Ilya Bryzgalov";27;1,36;64;0;0;0;0
"343";"LW";"Ilya Kovalchuk";24;5,43;79;52;35;-12;87
"344";"C";"Ilya Zubov";20;0;1;0;0;0;0
"345";"D";"Ivan Baranka";22;0,01;1;0;1;1;1
"346";"RW";"J.P. Dumont";29;2,5;80;29;43;5;72
"347";"D";"Jack Hillen";21;NA;2;0;1;1;1
"348";"D";"Jack Johnson";20;2,15;74;3;8;-19;11
"349";"LW";"Jack Skille";20;0,3;16;3;2;1;5
"350";"C";"Jake Dowell";22;0,25;19;2;1;1;3
"351";"RW";"Jamal Mayers";33;1,2;80;12;15;-19;27
"352";"C";"James Sheppard";19;1,4;78;4;15;0;19
"353";"D";"James Wisniewski";23;0,65;68;7;19;12;26
"354";"RW";"Jamie Langenbrunner";32;2,8;64;13;28;-1;41
"355";"D";"Jan Hejda";29;1;81;0;13;20;13
"356";"LW";"Jan Hlavac";31;0,7;80;12;23;-1;35
"357";"LW";"Jannik Hansen";21;0,05;5;0;0;0;0
"358";"RW";"Jared Boll";21;0,74;75;5;5;-4;10
"359";"LW";"Jarkko Ruutu";32;1,15;71;6;10;3;16
"360";"RW";"Jarome Iginla";30;7;82;50;48;27;98
"361";"RW";"Jaromir Jagr";35;8,36;82;25;46;8;71
"362";"G";"Jaroslav Halak";22;0,21;6;0;0;0;0
"363";"C";"Jaroslav Hlinka";31;0,6;63;8;20;6;28
"364";"D";"Jaroslav Modry";36;1,2;80;1;8;-9;9
"365";"D";"Jaroslav Spacek";33;3,48;60;9;23;7;32
"366";"C";"Jarret Stoll";25;2,2;81;14;22;-23;36
"367";"C";"Jason Arnott";33;4,5;79;28;44;19;72
"368";"LW";"Jason Blake";34;5;82;15;37;-4;52
"369";"LW";"Jason Chimera";28;1;81;14;17;-5;31
"370";"LW";"Jason Jaffray";26;0,12;19;2;4;4;6
"371";"LW";"Jason King";26;0,03;4;0;0;-3;0
"372";"G";"Jason Labarbera";27;0,8;45;0;0;0;0
"373";"RW";"Jason Pominville";25;0,92;82;27;53;16;80
"374";"D";"Jason Smith";34;1,98;77;1;9;-4;10
"375";"C";"Jason Spezza";24;5;76;34;58;26;92
"376";"D";"Jason Strudwick";32;0,5;52;1;1;0;2
"377";"RW";"Jason Ward";28;0,65;79;8;6;-18;14
"378";"C";"Jason Williams";27;1,6;43;13;23;-2;36
"379";"D";"Jassen Cullimore";35;0,47;65;3;10;21;13
"380";"D";"Jay Bouwmeester";24;2,25;82;15;22;-5;37
"381";"D";"Jay Leach";28;0,01;2;0;0;-1;0
"382";"C";"Jay McClement";24;0,7;81;9;13;-17;22
"383";"D";"Jay McKee";30;4;66;2;7;2;9
"384";"LW";"Jay Pandolfo";33;0,84;54;12;12;10;24
"385";"LW";"Jean-Francois Jacques";22;0,06;9;0;0;-3;0
"386";"G";"Jean-Sebastien Aubin";30;0,52;19;0;0;0;0
"387";"G";"Jean-Sebastien Giguere";30;5,5;58;0;0;0;0
"388";"RW";"Jed Ortmeyer";29;0,75;51;4;4;-8;8
"389";"C";"Jeff Carter";23;0,94;82;29;24;6;53
"390";"LW";"Jeff Cowan";31;0,72;46;0;1;-5;1
"391";"D";"Jeff Finger";28;0,48;72;8;11;12;19
"392";"LW";"Jeff Giuliano";28;0,3;53;0;6;-9;6
"393";"C";"Jeff Halpern";31;2;83;20;22;0;42
"394";"RW";"Jeff Hamilton";30;0,71;58;9;15;-8;24
"395";"LW";"Jeff Hoggan";29;0;1;0;0;0;0
"396";"D";"Jeff Schultz";21;0,78;72;5;13;12;18
"397";"C";"Jeff Taffe";26;0,29;45;5;7;2;12
"398";"LW";"Jeff Tambellini";23;0,33;31;1;3;-9;4
"399";"D";"Jeff Woywitka";24;0,21;27;2;6;2;8
"400";"LW";"Jere Lehtinen";34;3,9;48;15;22;9;37
"401";"C";"Jeremy Colliton";22;0,11;16;0;0;-4;0
"402";"LW";"Jeremy Reich";28;0,48;58;2;2;-5;4
"403";"C";"Jeremy Roenick";37;0,5;69;14;19;-8;33
"404";"RW";"Jeremy Williams";23;0,11;18;2;0;-3;2
"405";"C";"Jerred Smithson";28;0,48;81;7;9;-9;16
"406";"RW";"Jesse Boulerice";29;0,09;5;0;0;-2;0
"407";"C";"Jesse Winchester";24;NA;1;0;0;0;0
"408";"C";"Jim Dowd";39;0,5;73;5;5;0;10
"409";"C";"Jim Slater";25;0,75;69;8;5;-10;13
"410";"D";"Jim Vandermeer";27;1,23;75;3;14;6;17
"411";"G";"Jimmy Howard";23;0,14;4;0;0;0;0
"412";"LW";"Jiri Hudler";23;0,88;81;13;29;11;42
"413";"C";"Jiri Novotny";24;0,7;65;8;14;-10;22
"414";"LW";"Jiri Tlusty";19;0,69;58;10;6;-12;16
"415";"LW";"Joakim Lindstrom";24;0,2;25;3;4;0;7
"416";"G";"Jocelyn Thibault";32;0,76;12;0;0;0;0
"417";"C";"Jochen Hecht";30;2,35;75;22;27;1;49
"418";"LW";"Jody Shelley";31;0,65;62;1;6;-4;7
"419";"D";"Joe Corvo";30;2,5;74;13;35;17;48
"420";"D";"Joe DiPenta";28;0,7;23;1;4;3;5
"421";"F";"Joe Jensen";24;0,05;6;1;0;1;1
"422";"RW";"Joe Motzko";27;0,04;8;2;2;1;4
"423";"C";"Joe Pavelski";23;0,85;82;19;21;1;40
"424";"C";"Joe Sakic";38;6,75;44;13;27;-4;40
"425";"C";"Joe Thornton";28;6,67;82;29;67;18;96
"426";"D";"Joel Kwiatkowski";30;0,14;18;0;5;-5;5
"427";"C";"Joel Lundqvist";25;0,64;55;3;11;-3;14
"428";"C";"Joel Perrault";24;0,3;49;7;10;-11;17
"429";"G";"Joey MacDonald";27;0,04;2;0;0;0;0
"430";"D";"Joey Mormina";25;0;1;0;0;0;0
"431";"RW";"Joffrey Lupul";24;2,54;56;20;26;2;46
