"Anders Myrvold","8459550","53"
"Alain Nasreddine","8459558","38"
"Per Svartvadet","8459562","55"
"Jere Karalahti","8459569","50"
"Frank Banham","8459570","58"
"Andreas Karlsson","8459571","11"
"Darcy Tucker","8459574","63"
"Patrick Lalime","8459579","24"
"Todd Marchant","8459587","72"
"Andrew Brunette","8459596","80"
"David Ling","8459602","56"
"Eric Boguniecki","8459615","69"
"Alan Letang","8459624","48"
"Hal Gill","8459628","62"
"Michael Grier","8459640","62"
"Martin Strbak","8459645","60"
"Pavol Demitra","8459648","69"
"Kimmo Timonen","8459670","77"
"Scott Nichol","8459687","43"
"Hans Jonsson","8459700","26"
"Mike Maneluk","8459889","9"
"Brad Smyth","8460044","25"
"Stacy Roest","8460061","50"
"Pascal Trepanier","8460087","49"
"Radek Bonk","8460105","66"
"Greg De Vries","8460254","71"
"Petr Sykora","8460465","76"
"Steve Martins","8460484","55"
"Ed Jovanovski","8460492","82"
"Oleg Tverdovsky","8460493","57"
"Ryan Smyth","8460496","77"
"Jamie Storr","8460497","38"
"Nolan Baumgartner","8460500","72"
"Wade Belak","8460502","53"
"Mattias Ohlund","8460503","82"
"Ethan Moreau","8460504","77"
"Wayne Primeau","8460507","24"
"Brad Brown","8460508","46"
"Deron Quint","8460521","52"
"Josef Marha","8460526","49"
"Ryan Johnson","8460527","62"
"Jason Holland","8460529","51"
"Curtis Brown","8460534","44"
"Jose Theodore","8460535","57"
"Mathieu Dandenault","8460540","41"
"Richard Park","8460541","71"
"Patrik Elias","8460542","80"
"Sven Butenschon","8460548","58"
"Vitali Yachmenev","8460551","47"
"Jason Strudwick","8460555","71"
"Freddy Modin","8460556","50"
"Marko Kiprusoff","8460560","34"
"Sheldon Souray","8460561","81"
"Chris Drury","8460562","81"
"Chris Clark","8460567","32"
"Hnat Domenichelli","8460573","40"
"Milan Hejduk","8460577","82"
"Vaclav Varada","8460579","16"
"Brad Lukowich","8460580","58"
"Jamie Wright","8460587","33"
"Eric Nickulas","8460588","21"
"Pavel Trnka","8460594","31"
"Nisse Ekman","8460595","46"
"Chris Schmidt","8460599","57"
"Brian Swanson","8460603","51"
"Marty Turco","8460612","74"
"Bates Battaglia","8460620","59"
"Daniel Alfredsson","8460621","79"
"Bryce Salvador","8460626","76"
"Alexander Korolyuk","8460629","56"
"Andre Roy","8460639","44"
"Serge Aubin","8460649","36"
"Colin Forbes","8460654","52"
"Shane Hnidy","8460661","65"
"Ladislav Kohn","8460663","54"
"Raymond Giroux","8460689","54"
"Vitali Yeremeyev","8460695","32"
"Frederic Cassivi","8460696","46"
"Tim Thomas","8460703","54"
"Johan Hedberg","8460704","33"
"Evgeni Nabokov","8460705","62"
"Tomas Vokoun","8460712","59"
"John Grahame","8460715","20"
"Steve Sullivan","8460719","41"
"Eric Boulton","8460720","76"
"Richard Zednik","8460735","70"
"Tomas Holmstrom","8460743","53"
"Dick Tarnstrom","8460757","46"
"Kim Johnsson","8460770","81"
"Dwayne Roloson","8460806","68"
"Bryan Berard","8462032","25"
"Wade Redden","8462033","81"
"Aki Berg","8462034","43"
"Daymond Langkow","8462036","73"
"Steve Kelly","8462037","45"
"Shane Doan","8462038","91"
"Kyle McLaren","8462040","22"
"Radek Dvorak","8462041","81"
"Jarome Iginla","8462042","82"
"Jean-Sebastien Giguere","8462044","46"
"Jay McKee","8462045","69"
"Martin Biron","8462047","55"
"Denis Gauthier","8462050","65"
"Brian Boucher","8462052","22"
"Aleksey Morozov","8462054","58"
"Marc Denis","8462055","47"
"Maxim Kuznetsov","8462056","10"
"Georges Laraque","8462060","33"
"Marc Chouinard","8462061","10"
"Donald MacLean","8462062","45"
"Dwayne Hay","8462071","22"
"Nathan Perrott","8462072","9"
"Jochen Hecht","8462077","76"
"Pavel Rosa","8462078","55"
"Jan Hlavac","8462081","54"
"Shane Willis","8462085","33"
"Peter Schaefer","8462093","47"
"Brad Isbister","8462094","24"
"Sergey Gusev","8462096","50"
"Sergei Vyshedkevich","8462097","51"
"Jean-Sebastien Aubin","8462102","23"
"John Tripp","8462103","47"
"Tomi Kallio","8462107","55"
"Sami Kapanen","8462114","62"
"Daniel Tjarnqvist","8462115","37"
"Vesa Toskala","8462117","53"
"Marc Savard","8462118","82"
"Matt Davidson","8462121","44"
"Cameron Mann","8462126","17"
"Radovan Somik","8462127","43"
"Michal Handzus","8462129","88"
"Benoit Gratton","8462135","40"
"Miikka Kiprusoff","8462147","76"
"Jason Morgan","8462149","59"
"Chris Mason","8462152","61"
"Jan Hrdina","8462159","3"
"Brent Johnson","8462161","21"
"Brent Sopel","8462176","23"
"Clarke Wilm","8462182","52"
"Denis Hamel","8462185","63"
"Stephane Robidas","8462196","72"
"Byron Ritchie","8462197","45"
"P.J. Axelsson","8462209","75"
"Jean-Luc Grand-Pierre","8462211","47"
"Dan Smith","8462213","79"
"Jaroslav Obsut","8462220","60"
"Filip Kuba","8462225","71"
"Jussi Markkanen","8462255","18"
"Danny Markov","8462258","24"
"Andy Delmore","8462416","52"
