"","PlayerId","GPsec","PlayerName","GP"
"896",8464962,81,"Ruslan Salei",87
"897",8465166,73,"Craig Adams",75
"898",8465951,78,"Matt Cooke",78
"899",8466035,61,"Sergei Samsonov",63
"900",8466148,72,"Marian Hossa",72
"901",8466215,74,"Joe Corvo",74
"902",8466285,82,"Brian Campbell",83
"903",8466292,69,"Todd Fedoruk",69
"904",8466303,47,"Johan Holmqvist",47
"905",8466393,78,"Pascal Dupuis",78
"906",8467331,72,"Brad Stuart",72
"907",8467348,63,"Christian Backman",63
"908",8467389,74,"Brad Richards",74
"909",8467422,34,"Rob Davison",34
"910",8467519,60,"Karlis Skrastins",60
"911",8467831,81,"Jeff Halpern",86
"912",8467880,25,"Kris Beech",41
"913",8467913,32,"Alex Auld",34
"914",8467915,65,"Mike Commodore",67
"915",8467939,4,"Dan Jancevski",74
"916",8468213,75,"Jim Vandermeer",75
"917",8468434,78,"Andy McDonald",82
"918",8468496,49,"Marcel Hossa",60
"919",8468506,50,"Brian Sutherby",50
"920",8468523,75,"Matt Pettinger",76
"921",8468524,64,"Ilya Bryzgalov",64
"922",8468575,68,"Dominic Moore",68
"923",8469462,77,"Tuomo Ruutu",86
"924",8469464,69,"Fredrik Sjostrom",69
"925",8469474,72,"Colby Armstrong",72
"926",8469528,7,"Garth Murray",7
"927",8469608,33,"Mike Smith",34
"928",8469638,68,"Jussi Jokinen",81
"929",8469658,52,"Cristobal Huet",57
"930",8469666,40,"Brandon Bochenski",42
"931",8469765,55,"Marc-Andre Bergeron",55
"932",8470018,54,"Matt Ellis",54
"933",8470280,32,"Ben Eager",32
"934",8470299,59,"Erik Christensen",59
"935",8470375,38,"Patrick Thoresen",67
"936",8470578,57,"Freddy Meyer",65
"937",8470609,76,"Steve Bernier",76
"938",8470622,37,"Patrick Eaves",37
"939",8470678,24,"Alexandre Picard",78
"940",8471185,62,"Curtis Glencross",62
"941",8471206,21,"Junior Lessard",76
"942",8471217,60,"Andrew Ladd",65
"943",8473981,45,"Magnus Johansson",54
